delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,1000,exp,0,10,10,11,69.45260379998945,,69.43745849997504,69.45260379998945,70.45256169995992,70.45256169995992,70.45256169995992,71.80534279998392,space,1.3474299000226893,None,71.80640979995951,72.5190631666376,72.82613649999257,72.81151119997958,72.81158819998382,72.82613649999257,72.82613649999257,72.82613649999257,75.47013949998654,786,1,[2.6558101000264287],[2.6558221000013873],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.1,1000,exp,0,11,11,9,75.48461609997321,,75.47140929999296,75.48461609997321,76.4843384999549,76.4843384999549,76.4843384999549,79.00326529995073,space,2.504746199992951,None,79.00420989998383,79.11734906665903,79.42569209996145,79.411331899988,79.41139239998301,79.42569209996145,79.42569209996145,79.42569209996145,85.13351979997242,795,1,[5.720049000054132],[5.720055700046942],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.7,1000,exp,1,0,12,11,85.149179,,85.13414039998315,85.149179,86.14926320000086,86.14926320000086,86.14926320000086,86.66701989999274,space,0.501974499959033,None,86.66764080000576,87.38139296666874,87.69337339996127,87.68079349998152,87.68084099999396,87.69337339996127,87.69337339996127,87.69337339996127,90.58258220000425,459,1,[2.8999666000017896],[2.899974400002975],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.7,400,unexp,1,1,13,2,90.59816839999985,,90.58349940000335,90.59816839999985,91.59826020000037,91.59826020000037,91.59826020000037,92.65002780000214,space,1.040816500026267,None,92.65066499996465,93.36409886664866,93.67556689999765,93.66166809998685,93.66198529995745,93.67556689999765,93.67556689999765,93.67556689999765,98.51393949997146,345,1,[4.849031399993692],[4.8490393999964],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.4,1000,exp,1,2,14,10,98.52961179998238,,98.51454020000529,98.52961179998238,99.52966349996859,99.52966349996859,99.52966349996859,100.16578759998083,space,0.6178894999902695,None,100.16682889999356,100.57968496665514,100.89616649999516,100.88198659999762,100.88203549996251,100.89616649999516,100.89616649999516,100.89616649999516,103.72965699998895,798,1,[2.845652100048028],[2.845660599996336],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.4,1000,exp,1,3,15,4,103.74501799995778,,103.73033900000155,103.74501799995778,104.74521009996533,104.74521009996533,104.74521009996533,105.1307863999973,space,0.37222329998621717,None,105.13194579997798,105.545044966628,105.85475189995486,105.84122519998346,105.84129299997585,105.85475189995486,105.85475189995486,105.85475189995486,107.67939649999607,687,1,[1.8352370000211522],[1.8352458999725059],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.4,400,unexp,1,4,16,1,107.6944203999592,,107.68020999996224,107.6944203999592,108.69453519996023,108.69453519996023,108.69453519996023,109.0801088999724,space,0.37991870002588257,None,109.08082939998712,109.49430916662483,109.80350109998835,109.79111349995947,109.79115819995059,109.80350109998835,109.80350109998835,109.80350109998835,111.92827629996464,687,1,[2.134102600044571],[2.134111700055655],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.1,400,unexp,1,5,17,0,111.94341889995849,,111.92918999999529,111.94341889995849,112.94355929997982,112.94355929997982,112.94355929997982,113.42976179998368,space,0.4755158999469131,None,113.43068489996949,113.54360866663434,113.85470510000596,113.84147589997156,113.84155719995033,113.85470510000596,113.85470510000596,113.85470510000596,115.92738149996148,685,1,[2.0833868000190705],[2.083394400018733],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.4,1000,exp,1,6,18,7,115.9426131999935,,115.92819919995964,115.9426131999935,116.94268969999393,116.94268969999393,116.94268969999393,117.41131850000238,space,0.45189829997252673,None,117.41205859999172,117.82586786663548,118.13647129997844,118.12138799997047,118.12144919997081,118.13647129997844,118.13647129997844,118.13647129997844,120.85935019998578,458,1,[2.735075999982655],[2.7350831999792717],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
0.1,1000,exp,1,7,19,3,120.87482019996969,,120.86002909997478,120.87482019996969,121.87514139997074,121.87514139997074,121.87514139997074,122.51084730000002,space,0.627825399977155,None,122.511634399998,122.62501846661714,122.93723459995817,122.92155979998643,122.92162569996435,122.93723459995817,122.93723459995817,122.93723459995817,127.17470939998748,348,1,[4.249532099987846],[4.249539599986747],1,001,2024-11-12_13h08.55.177,Intentional Binding Task,2024.1.5,None,2024-11-12 13h09.06.533314 +0530,
